Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t22Ved14.xlsx;Коэффициент обеспеченности собственными оборотными средствами;KoeObeSobOboSre;13;14;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент обеспеченности собственными оборотными средствами""";"""конец"",""отчетный"",""Коэффициент обеспеченности собственными оборотными средствами"""
T24_000000_t22Ved14.xlsx;Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам;DolDolObyKIstSobSreIDolOby;15;16;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам""";"""конец"",""отчетный"",""Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам"""
T24_000000_t22Ved14.xlsx;Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса;DolIstFin(isSobSreIDolObyVValBal;17;18;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса""";"""конец"",""отчетный"",""Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса"""
T24_000000_t22Ved14.xlsx;Коэффициент абсолютной ликвидности (нормальное ограничение 20 %);KoeAbsLik(noOgr20%);19;20;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)""";"""конец"",""отчетный"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент ликвидности (нормальное ограничение 80 %);KoeLik(noOgr80%);21;22;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент ликвидности (нормальное ограничение 80 %)""";"""конец"",""отчетный"",""Коэффициент ликвидности (нормальное ограничение 80 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %);KoeTekLik(po(noOgr20%);23;24;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)""";"""конец"",""отчетный"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)"""
T24_000000_t22Ved14.xlsx;Соотношение собственных и заемных средств;SooSobIZaeSre;25;152;"""начало"",""предыдущий"",""конец"",""отчетный"",""Соотношение собственных и заемных средств""";"""конец"",""отчетный"",""Соотношение собственных и заемных средств"""
T24_000000_t22Ved14mo8.xlsx;Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%);SooZaeISobSre(noOgrMenLiRav100_1;3;4;"""начало"",""предыдущий"",""конец"",""отчетный"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)""";"""конец"",""отчетный"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %);KoeAvt(doSobSreVValBal(noOgrBolLiRav50%)_1;5;6;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)""";"""конец"",""отчетный"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств);KoeMan(doSobOboSreKIstSobSre_1;7;8;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)""";"""конец"",""отчетный"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)"""
T24_000000_t22Ved14mo8.xlsx;Доля имущества производственного назначения в валюте баланса;DolImuProNazVValBal_1;9;10;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля имущества производственного назначения в валюте баланса""";"""конец"",""отчетный"",""Доля имущества производственного назначения в валюте баланса"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами;KoeObeSobMatOboSre_1;11;12;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами""";"""конец"",""отчетный"",""Коэффициент обеспе-ченности собствен-ными материальными оборотными средствами"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент обеспеченности собственными оборотными средствами;KoeObeSobOboSre_1;13;14;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент обеспеченности собственными оборотными средствами""";"""конец"",""отчетный"",""Коэффициент обеспеченности собственными оборотными средствами"""
T24_000000_t22Ved14mo8.xlsx;Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам;DolDolObyKIstSobSreIDolOby_1;15;16;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам""";"""конец"",""отчетный"",""Доля долгосрочных обязательств к источ-нику собственных средств и долгосроч-ным обязательствам"""
T24_000000_t22Ved14mo8.xlsx;Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса;DolIstFin(isSobSreIDolObyVValBal_1;17;18;"""начало"",""предыдущий"",""конец"",""отчетный"",""Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса""";"""конец"",""отчетный"",""Доля источников финан-сирования (источники собственных средств и долгосрочные обязатель-ства) в валюте баланса"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент абсолютной ликвидности (нормальное ограничение 20 %);KoeAbsLik(noOgr20%)_1;19;20;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)""";"""конец"",""отчетный"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент ликвидности (нормальное ограничение 80 %);KoeLik(noOgr80%)_1;21;22;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент ликвидности (нормальное ограничение 80 %)""";"""конец"",""отчетный"",""Коэффициент ликвидности (нормальное ограничение 80 %)"""
T24_000000_t22Ved14mo8.xlsx;Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %);KoeTekLik(po(noOgr20%)_1;23;24;"""начало"",""предыдущий"",""конец"",""отчетный"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)""";"""конец"",""отчетный"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)"""
T24_000000_t22Ved14mo8.xlsx;Соотношение собственных и заемных средств;SooSobIZaeSre_1;25;75;"""начало"",""предыдущий"",""конец"",""отчетный"",""Соотношение собственных и заемных средств""";"""конец"",""отчетный"",""Соотношение собственных и заемных средств"""
