table_num,table_name,excel_source,row,col,is_header_row,cell_type,value
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,9,False,DATA,103980867
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,10,False,DATA,103980867
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,6,11,False,DATA,161984265
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,0,False,OKVED_CODE,Добыча полезных ископаемых
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,1,False,OKVED_NAME,97878516
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,2,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,3,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,4,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,5,False,DATA,64411656
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,6,False,DATA,64411656
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,7,False,DATA,73692301
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,8,False,DATA,73692301
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,9,False,DATA,33466860
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,10,False,DATA,33466860
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,7,11,False,DATA,27491671
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,0,False,OKVED_CODE,добыча металлических руд
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,1,False,OKVED_NAME,97878516
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,2,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,3,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,4,False,DATA,101183972
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,5,False,DATA,64411656
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,6,False,DATA,64411656
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,7,False,DATA,73692301
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,8,False,DATA,73692301
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,9,False,DATA,33466860
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,10,False,DATA,33466860
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,8,11,False,DATA,27491671
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,0,False,OKVED_CODE,Обрабатывающие производства
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,1,False,OKVED_NAME,41449147
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,2,False,DATA,45536078
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,3,False,DATA,45536078
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,4,False,DATA,45536078
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,5,False,DATA,20396194
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,6,False,DATA,20396194
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,7,False,DATA,22587609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,8,False,DATA,22587609
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,9,False,DATA,21052953
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,10,False,DATA,21052953
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,9,11,False,DATA,22948469
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,0,False,OKVED_CODE,производство пищевых продуктов
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,1,False,OKVED_NAME,32733635
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,2,False,DATA,36945862
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,3,False,DATA,36945862
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,4,False,DATA,36945862
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,5,False,DATA,17488166
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,6,False,DATA,17488166
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,7,False,DATA,20015482
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,8,False,DATA,20015482
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,9,False,DATA,15245469
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,10,False,DATA,15245469
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,10,11,False,DATA,16930380
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,0,False,OKVED_CODE,производство напитков
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,1,False,OKVED_NAME,1369989
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,2,False,DATA,1452818
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,3,False,DATA,1452818
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,4,False,DATA,1452818
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,5,False,DATA,947567
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,6,False,DATA,947567
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,7,False,DATA,941901
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,8,False,DATA,941901
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,9,False,DATA,422422
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,10,False,DATA,422422
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,11,11,False,DATA,510917
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,0,False,OKVED_CODE,производство прочих готовых изделий
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,1,False,OKVED_NAME,31074
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,2,False,DATA,28800
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,3,False,DATA,28800
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,4,False,DATA,28800
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,5,False,DATA,6585
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,6,False,DATA,6585
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,7,False,DATA,5654
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,8,False,DATA,5654
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,9,False,DATA,24489
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,10,False,DATA,24489
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,12,11,False,DATA,23146
1,БАЛАНС ОРГАНИЗАЦИЙ,T23_000000_t01Ved14.xlsx,13,0,False,OKVED_CODE,"ремонт и монтаж машин 
и оборудования"
